,Unnamed: 0,cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season,year,month,day,hour,time_of_day
0,0,182,3.0,2.0,93.0,6.0,Broken clouds,0.0,1.0,winter,2015,January,4,0,MidNight
1,1,138,3.0,2.5,93.0,5.0,Clear,0.0,1.0,winter,2015,January,4,1,MidNight
2,2,134,2.5,2.5,96.5,0.0,Clear,0.0,1.0,winter,2015,January,4,2,MidNight
3,3,72,2.0,2.0,100.0,0.0,Clear,0.0,1.0,winter,2015,January,4,3,MidNight
4,4,47,2.0,0.0,93.0,6.5,Clear,0.0,1.0,winter,2015,January,4,4,MidNight
5,5,46,2.0,2.0,93.0,4.0,Clear,0.0,1.0,winter,2015,January,4,5,MidNight
6,6,51,1.0,-1.0,100.0,7.0,Cloudy,0.0,1.0,winter,2015,January,4,6,Morning
7,7,75,1.0,-1.0,100.0,7.0,Cloudy,0.0,1.0,winter,2015,January,4,7,Morning
8,8,131,1.5,-1.0,96.5,8.0,Cloudy,0.0,1.0,winter,2015,January,4,8,Morning
9,9,301,2.0,-0.5,100.0,9.0,Broken clouds,0.0,1.0,winter,2015,January,4,9,Morning
10,10,528,3.0,-0.5,93.0,12.0,Broken clouds,0.0,1.0,winter,2015,January,4,10,Morning
11,11,727,2.0,-1.5,100.0,12.0,Broken clouds,0.0,1.0,winter,2015,January,4,11,Morning
12,12,862,2.0,-1.5,96.5,13.0,Cloudy,0.0,1.0,winter,2015,January,4,12,Afternoon
13,13,916,3.0,-0.5,87.0,15.0,Broken clouds,0.0,1.0,winter,2015,January,4,13,Afternoon
14,14,1039,2.5,0.0,90.0,8.0,Broken clouds,0.0,1.0,winter,2015,January,4,14,Afternoon
15,15,869,2.0,-1.5,93.0,11.0,Broken clouds,0.0,1.0,winter,2015,January,4,15,Afternoon
16,16,737,3.0,0.0,93.0,12.0,Broken clouds,0.0,1.0,winter,2015,January,4,16,Afternoon
17,17,594,3.0,0.0,93.0,11.0,Broken clouds,0.0,1.0,winter,2015,January,4,17,Afternoon
18,18,522,3.0,1.5,93.0,6.5,Broken clouds,0.0,1.0,winter,2015,January,4,18,Evening
19,19,379,3.0,1.0,93.0,7.0,Broken clouds,0.0,1.0,winter,2015,January,4,19,Evening
20,20,328,3.0,3.0,93.0,4.0,Broken clouds,0.0,1.0,winter,2015,January,4,20,Evening
21,21,221,3.0,2.5,93.0,5.0,Cloudy,0.0,1.0,winter,2015,January,4,21,Evening
22,22,178,3.0,2.0,93.0,6.0,Cloudy,0.0,1.0,winter,2015,January,4,22,Evening
23,23,157,4.0,3.5,87.0,5.0,Cloudy,0.0,1.0,winter,2015,January,4,23,Evening
24,24,83,4.0,3.0,93.0,6.0,Cloudy,0.0,0.0,winter,2015,January,5,0,MidNight
25,25,67,4.0,3.5,93.0,5.0,Cloudy,0.0,0.0,winter,2015,January,5,1,MidNight
26,26,32,5.0,4.0,87.0,6.0,Cloudy,0.0,0.0,winter,2015,January,5,2,MidNight
27,27,22,6.0,4.5,84.0,7.5,Cloudy,0.0,0.0,winter,2015,January,5,3,MidNight
28,28,38,6.5,5.0,84.0,8.0,Cloudy,0.0,0.0,winter,2015,January,5,4,MidNight
